trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
-281.25085,110.30782,68.001205,-428.04443,72.56140350877193,-399.76743,0.0,-399.76743,-399.76743,106.0,-399.76743
-282.17123,100.11309,63.870213,-491.5636,69.05,-265.2445,0.0,-265.2445,-265.2445,71.0,-399.76743
-148.00061,21.298885,-114.54311,-173.86777,999.0,-83.14809,0.0,-83.14809,-83.14809,999.0,-399.76743
-143.10959,14.922977,-128.75739,-171.4975,999.0,-138.0044,0.0,-138.0044,-138.0044,999.0,-399.76743
-195.68831,8.695813,-181.93747,-206.83649,999.0,-329.5249,0.0,-329.5249,-329.5249,757.0,-399.76743
-222.96086,102.55618,-52.221382,-360.20374,603.2857142857143,-135.30392,0.0,-135.30392,-135.30392,215.0,-399.76743
-171.54214,60.18967,-64.376816,-268.04453,529.625,-374.7129,0.0,-374.7129,-374.7129,957.0,-399.76743
-173.16628,65.161,-84.67378,-286.392,773.1666666666666,-103.70119,0.0,-103.70119,-103.70119,999.0,-399.76743
-117.01766,43.27952,-63.838997,-184.71016,999.0,-172.63007,0.0,-172.63007,-172.63007,999.0,-399.76743
-69.51856,34.958954,-2.5005417,-100.24038,967.0,-111.37623,0.0,-111.37623,-111.37623,999.0,-399.76743
-17.021204,140.07532,188.03934,-123.91148,789.6666666666666,-93.95801,0.0,-93.95801,-93.95801,999.0,-399.76743
-76.885254,56.902233,10.237019,-166.2432,820.4,-77.52143,0.0,-77.52143,-77.52143,999.0,-399.76743
-73.73338,17.315681,-53.233353,-104.08243,999.0,-79.43077,0.0,-79.43077,-79.43077,999.0,-399.76743
-38.352222,72.1988,90.26442,-132.35356,900.6,133.37592,0.0,133.37592,133.37592,406.0,-399.76743
50.20139,94.548134,208.66714,-82.18011,679.5714285714286,-55.33457,0.0,-55.33457,-55.33457,270.0,-399.76743
48.83622,78.422165,184.94415,-84.68008,432.4,183.64221,0.0,183.64221,183.64221,728.0,-399.76743
39.743507,78.99222,178.06865,-66.20465,563.0,74.110695,0.0,74.110695,74.110695,290.0,-399.76743
37.707184,112.6666,191.1488,-110.48811,524.125,-23.01614,0.0,-23.01614,-23.01614,633.0,-399.76743
-24.422092,81.827034,129.20966,-99.5123,927.0,-57.866486,0.0,-57.866486,-57.866486,999.0,-399.76743
1.2438921,67.83137,135.45233,-65.69195,819.0,-82.02878,0.0,-82.02878,-82.02878,999.0,-399.76743
96.84172,128.02182,214.17429,-119.20791,642.2857142857143,-44.770836,0.0,-44.770836,-44.770836,999.0,-399.76743
28.96987,115.020164,199.7748,-71.29352,899.2,-92.64355,0.0,-92.64355,-92.64355,999.0,-399.76743
78.11757,116.00279,228.89658,-71.3901,607.0,85.38824,0.0,85.38824,85.38824,235.0,-399.76743
-5.317785,102.48755,193.07918,-108.91531,795.6666666666666,-68.59941,0.0,-68.59941,-68.59941,692.0,-399.76743
47.13989,108.479996,212.27914,-94.470474,601.875,-290.86786,0.0,-290.86786,-290.86786,879.0,-399.76743
105.58982,97.03241,199.46634,-68.53293,636.4285714285714,-71.61253,0.0,-71.61253,-71.61253,999.0,-399.76743
21.163498,121.138374,221.98727,-88.14101,748.8333333333334,-58.24714,0.0,-58.24714,-58.24714,249.0,-399.76743
29.231356,115.39871,171.21596,-88.81597,708.5,-57.840332,0.0,-57.840332,-57.840332,999.0,-399.76743
68.089294,128.80193,227.71367,-124.70704,592.4285714285714,228.53537,0.0,228.53537,228.53537,406.0,-399.76743
-4.7157745,139.98553,225.19083,-151.47223,605.2857142857143,204.13411,0.0,204.13411,204.13411,177.0,-399.76743
59.58072,122.46041,202.36366,-100.68812,539.5,18.244362,0.0,18.244362,18.244362,240.0,-399.76743
-1.0803629,81.48795,126.36328,-88.13194,763.5,-119.67201,0.0,-119.67201,-119.67201,120.0,-399.76743
14.952115,97.83331,151.7977,-107.12454,690.6666666666666,170.90778,0.0,170.90778,170.90778,145.0,-399.76743
116.86246,111.260895,238.32532,-106.16979,349.0,-338.12433,0.0,-338.12433,-338.12433,258.0,-399.76743
64.52503,153.64055,238.9694,-205.80496,396.27272727272725,-94.003235,0.0,-94.003235,-94.003235,999.0,-399.76743
33.633095,139.30959,245.35855,-87.28375,875.2,-28.692135,0.0,-28.692135,-28.692135,171.0,-399.76743
132.9534,98.17109,251.76352,-64.08765,443.54545454545456,-65.14828,0.0,-65.14828,-65.14828,999.0,-399.76743
123.37376,50.653084,192.1418,30.049744,474.8,145.72914,0.0,145.72914,145.72914,519.0,-399.76743
141.77553,56.966213,211.61667,-0.6260681,440.6363636363636,151.06839,0.0,151.06839,151.06839,503.0,-399.76743
95.049034,116.04678,216.16776,-184.04922,589.0,158.5485,0.0,158.5485,158.5485,650.0,-399.76743
-19.240103,73.329025,119.71335,-98.250145,944.0,-20.075882,0.0,-20.075882,-20.075882,999.0,-399.76743
84.26371,122.73554,197.53899,-76.63417,550.625,164.7413,0.0,164.7413,164.7413,489.0,-399.76743
136.24371,79.30026,198.48541,-17.032822,500.55555555555554,132.15208,0.0,132.15208,132.15208,502.0,-399.76743
151.59409,90.846596,243.70752,-95.87359,379.54545454545456,234.89745,0.0,234.89745,234.89745,280.0,-399.76743
161.02959,79.61996,225.60541,-64.05291,376.27272727272725,195.91403,0.0,195.91403,195.91403,406.0,-399.76743
102.47813,116.5267,224.21721,-81.949524,501.5,214.91118,0.0,214.91118,214.91118,314.0,-399.76743
-13.704748,130.04744,214.30804,-114.04841,865.0,159.4238,0.0,159.4238,159.4238,207.0,-399.76743
-2.7316985,93.29455,182.26366,-62.83627,885.2,-87.72644,0.0,-87.72644,-87.72644,999.0,-399.76743
82.57322,116.8258,193.98218,-75.65225,598.8571428571429,168.10626,0.0,168.10626,168.10626,246.0,-399.76743
161.5965,58.459923,226.77017,-26.614586,271.5625,166.95856,0.0,166.95856,166.95856,260.0,-399.76743
158.58368,52.964817,205.56366,5.6409254,341.4166666666667,199.1961,0.0,199.1961,199.1961,342.0,-399.76743
